Date : 2023-03-16 11:49:18
Directory : d:\vscode\graDes\housing-recommend-system\src
Total : 123 files,  9724 codes, 191 comments, 802 blanks, all 10717 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| vue        |         63 |      7,443 |         24 |        468 |      7,935 |
| TypeScript |         53 |      1,631 |        132 |        284 |      2,047 |
| JSON       |          4 |        587 |          9 |         18 |        614 |
| SCSS       |          1 |         38 |         25 |         13 |         76 |
| Less       |          2 |         25 |          1 |         19 |         45 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                            |        123 |      9,724 |        191 |        802 |     10,717 |
| . (Files)                                                                                    |          9 |        427 |         39 |         61 |        527 |
| api                                                                                          |          3 |        123 |          3 |         18 |        144 |
| components                                                                                   |         38 |      3,165 |          0 |        200 |      3,365 |
| components\Appointment                                                                       |          3 |        374 |          0 |         27 |        401 |
| components\FilterBar                                                                         |          8 |        820 |          0 |         40 |        860 |
| components\House                                                                             |          4 |        258 |          0 |         17 |        275 |
| components\HouseService                                                                      |          3 |        549 |          0 |         51 |        600 |
| components\Navigation                                                                        |          9 |        416 |          0 |         19 |        435 |
| components\public                                                                            |          8 |        449 |          0 |         33 |        482 |
| components\user                                                                              |          3 |        299 |          0 |         13 |        312 |
| constant                                                                                     |          2 |         45 |         18 |         15 |         78 |
| data                                                                                         |          2 |        280 |          0 |          0 |        280 |
| hooks                                                                                        |          9 |        160 |          6 |         38 |        204 |
| hooks (Files)                                                                                |          7 |        119 |          6 |         36 |        161 |
| hooks\component                                                                              |          2 |         41 |          0 |          2 |         43 |
| pages                                                                                        |         24 |      4,251 |         24 |        262 |      4,537 |
| pages (Files)                                                                                |          9 |      1,483 |          9 |         75 |      1,567 |
| pages\HouseSearch                                                                            |          1 |        268 |          0 |         14 |        282 |
| pages\houseOrder                                                                             |          2 |        326 |          0 |         31 |        357 |
| pages\index                                                                                  |          1 |         36 |          0 |          5 |         41 |
| pages\map                                                                                    |          1 |         82 |          0 |          2 |         84 |
| pages\serviceDetail                                                                          |          2 |        535 |          0 |         28 |        563 |
| pages\serviceOrder                                                                           |          2 |        314 |          0 |         31 |        345 |
| pages\tabbar                                                                                 |          5 |      1,174 |         15 |         70 |      1,259 |
| pages\user                                                                                   |          1 |         33 |          0 |          6 |         39 |
| service                                                                                      |          7 |        255 |          4 |         43 |        302 |
| store                                                                                        |          5 |        173 |          8 |         36 |        217 |
| types                                                                                        |         12 |        348 |          7 |         35 |        390 |
| types (Files)                                                                                |          8 |        277 |          7 |         31 |        315 |
| types\Entity                                                                                 |          4 |         71 |          0 |          4 |         75 |
